モーションの方のボーンの名称,移動,回転,スケール,変換後の名前(変更なしのボーンは-を)
全ての親,1,1,,-
センター,1,1,,-
グルーブ,1,1,,-
腰,1,1,,hip
上半身,,1,,spine1
上半身１,,1,,spine1
上半身1,,1,,spine1
上半身２,,1,,spine2
上半身2,,1,,spine2
頭,,1,,head
右肩,,1,,肩.R
右ひじ,,1,,ひじ.R
右腕,,1,,腕.R
右腕捩,,1,,腕捩.R
右手捩,,1,,手捩.R
右手捩１,,1,,手捩１.R
右手捩２,,1,,手捩２.R
右手捩３,,1,,手捩３.R
左手捩１,,1,,手捩１.L
左手捩２,,1,,手捩２.L
左手捩３,,1,,手捩３.L
右手首,,1,,手首.R
右親指０,,1,,親指０.R
右親指１,,1,,親指１.R
右親指２,,1,,親指２.R
右人指１,,1,,人指１.R
右中指１,,1,,中指１.R
右薬指１,,1,,薬指１.R
右小指１,,1,,小指１.R
右親指２,,1,,親指２.R
右人指２,,1,,人指２.R
右中指２,,1,,中指２.R
右薬指２,,1,,薬指２.R
右小指２,,1,,小指２.R
右親指３,,1,,親指３.R
右人指３,,1,,人指３.R
右中指３,,1,,中指３.R
右薬指３,,1,,薬指３.R
右小指３,,1,,小指３.R
左肩,,1,,肩.L
左ひじ,,1,,ひじ.L
左腕,,1,,腕.L
左腕捩,,1,,腕捩.L
左手捩,,1,,手捩.L
左手首,,1,,手首.L
左親指０,,1,,親指０.L
左親指１,,1,,親指１.L
左親指２,,1,,親指２.L
左人指１,,1,,人指１.L
左中指１,,1,,中指１.L
左薬指１,,1,,薬指１.L
左小指１,,1,,小指１.L
左人指２,,1,,人指２.L
左中指２,,1,,中指２.L
左薬指２,,1,,薬指２.L
左小指２,,1,,小指２.L
左人指３,,1,,人指３.L
左中指３,,1,,中指３.L
左薬指３,,1,,薬指３.L
左小指３,,1,,小指３.L
左目,,1,,目.L
右目,,1,,目.R
右足D,,1,,足D.R
右ひざD,,1,,ひざD.R
右足首D,,1,,足首D.R
右つま先ex,,1,,つま先ex.R
左足D,,1,,足D.L
左ひざD,,1,,ひざD.L
左足首D,,1,,足首D.L
左つま先ex,,1,,つま先ex.L
右胸,,1,,胸.R
左胸,,1,,胸.L
右胸先,,1,,胸先.R
左胸先,,1,,胸先.L
右足ＩＫ親,1,1,,足ＩＫ親.R
左足ＩＫ親,1,1,,足ＩＫ親.L
右足ＩＫ,1,1,,足ＩＫ.R
左足ＩＫ,1,1,,足ＩＫ.L
右つま先ＩＫ,1,1,,つま先ＩＫ.R
左つま先ＩＫ,1,1,,つま先ＩＫ.L
右足,,1,,足D.R
右ひざ,,1,,ひざD.R
右足首,,1,,足首D.R
左足,,1,,足D.L
左ひざ,,1,,ひざD.L
左足首,,1,,足首D.L
