モーションの方のボーンの名称,移動,回転,スケール,変換後の名前(変更なしのボーンは-を)
全ての親,1,1,,root
センター,1,1,,center
グルーブ,1,1,,grab
腰,1,1,,hip
上半身,,1,,spine
上半身１,,1,,spine
上半身1,,1,,spine
上半身２,,1,,chest
上半身2,,1,,chest
頭,,1,,head
右肩,,1,,shoulder.R
右ひじ,,1,,elbow.R
右腕,,1,,arm.R
右腕捩,,1,,腕捩.R
右手捩,,1,,手捩.R
右手捩１,,1,,手捩1.R
右手捩２,,1,,手捩2.R
右手捩３,,1,,手捩3.R
左手捩１,,1,,手捩1.L
左手捩２,,1,,手捩2.L
左手捩３,,1,,手捩3.L
右手首,,1,,hand.R
右親指０,,1,,thumb0.R
右親指１,,1,,thumb1.R
右親指２,,1,,thumb2.R
右人指１,,1,,index1.R
右中指１,,1,,middle1.R
右薬指１,,1,,ring1.R
右小指１,,1,,pinky1.R
右親指２,,1,,thumb2.R
右人指２,,1,,index2.R
右中指２,,1,,middle2.R
右薬指２,,1,,ring2.R
右小指２,,1,,pinky2.R
右親指３,,1,,thumb3.R
右人指３,,1,,index3.R
右中指３,,1,,middle3.R
右薬指３,,1,,ring3.R
右小指３,,1,,pinky3.R
左肩,,1,,shoulder.L
左ひじ,,1,,elbow.L
左腕,,1,,arm.L
左腕捩,,1,,腕捩.L
左手捩,,1,,手捩.L
左手首,,1,,hand.L
左親指０,,1,,thumb0.L
左親指１,,1,,thumb1.L
左親指２,,1,,thumb2.L
左人指１,,1,,index1.L
左中指１,,1,,middle1.L
左薬指１,,1,,ring1.L
左小指１,,1,,pinky1.L
左人指２,,1,,index2.L
左中指２,,1,,middle2.L
左薬指２,,1,,ring2.L
左小指２,,1,,pinky2.L
左人指３,,1,,index3.L
左中指３,,1,,middle3.L
左薬指３,,1,,ring3.L
左小指３,,1,,pinky3.L
左目,,1,,eye.L
右目,,1,,eye.R
下半身,,1,,lowerBody
右足D,,1,,legD.R
右ひざD,,1,,kneeD.R
右足首D,,1,,footD.R
右つま先ex,,1,,つま先ex.R
左足D,,1,,legD.L
左ひざD,,1,,kneeD.L
左足首D,,1,,footD.L
左つま先ex,,1,,つま先ex.L
右胸,,1,,胸.R
左胸,,1,,胸.L
右胸先,,1,,胸先.R
左胸先,,1,,胸先.L
右足ＩＫ親,1,1,,leg_IK_parent.R
左足ＩＫ親,1,1,,leg_IK_parent.L
右足ＩＫ,1,1,,leg_IK.R
左足ＩＫ,1,1,,leg_IK.L
右つま先ＩＫ,1,1,,toe_IK.R
左つま先ＩＫ,1,1,,toe_IK.L
右足,,1,,legD.R
右ひざ,,1,,kneeD.R
右足首,,1,,footD.R
左足,,1,,legD.L
左ひざ,,1,,kneeD.L
左足首,,1,,footD.L
